article_id,newspaper_name,edition,date,page,headline,byline,article
19_1922-05-21_p2_sn84020558_00414217783_1922052101_0120,Arizona republican.,01,1922-05-21,p2,"Aged Texas Negro


Is Lynched BY Mob",,columbus tex may mose bozier a negro go years old was to day hanged to tree by mob of persocs near alleyton after he had been taken from officers who were holding him on a charge of at tack on a young white girl yesterday boiler was arrested this morning by officer ewald stein near frezt berg about five miles from the scene of the alleged crime the mob took the negro from of ficers about noon and carried out the lynching quietly
9_1922-12-04_p2_sn83045433_00280764310_1922120401_0214,The Washington herald.,01,1922-12-04,p2,"Negro Ministers Elect


Rev. DIR. Drew President",,dir simon p w drew was elected president of the national negro minister s evangelical ali ance of america yesterday at the annual conference at cosmopolitan baptist church he condemned the action of those members of the senate who prevented passage of the dyer anti lynching bill and the negroes who caused the defeat of the liberian loan because of pickering among themselves the alliance has called for a conference in washington on april il next to determine what political party to cast its lot with in the campaign
33_1922-07-08_p1_sn90060931_0038334816A_1922070801_0071,The northwestern bulletin.,01,1922-07-08,p1,"SESSION
Of \. A. A. {. P.


IS SUCCESSFUL

Convention Closed with Eloquent
Plea by William Pickens for


Amended Racial Harmony.

""a NEW NEGRO"" is


SLOGAN AT CONVENTION

Pres. Harding Pressed by Vote
of Convention to Urge Sen


ate to Pass Dyer Bill.",ASSOCIATED Negro Press),newark n j july the thir teenth annual session of the nation al association for the advancement of colored people closed with an elo quent plea by dean william pickens to bring the problems of racial diff erences in america to practical ad justment dean pickens followed the address of dr w e b dubois and brought home his practical applica tions with punch that will not be forgotten dr dubois discussed the evolution of racial differences in the world of today throughout the entire session of the conference there was one out standing fact the negro of today is new negro and must be dealt with in a new way the problems of adjustment and better understand ing must all be worked out in the light of a new psychology that has come to the darker people of the en tire world and emphasized no less in the colored americans than in other darker peoples president harding was urged by unanimous vote of the convention to send a special message to the sen ate expressing the importance of passing the dyer anti lynching bill at the present session of congress t was enthusiastically disclosed in the temper and manner of the repre sentatives from twenty five or more states that failure to pass the bill or quibbling over technicalities as to the constitutionality for instance viii be reflected in a vote of protest at the november elections there seems to be no argument that can be advan ced that will be accepted as a sudsti tute for action outspoken i m sentiment the failure of public officials who had accepted places on the program of the convention and then sent last minute expressions of regret was met on every hand by expressions of displeasure this was particularly true of the mayor of newark and senator frelinghuysen of new jer sey the senator sent a telegram stating that his duties on the finance committee prevented his attendance but expressed his approval of the an ti lynching bill the political atmosphere of new jersey was prevalent throughout the session and particularly the fight in the newark district against congress man parker who voted against the dyer bill mr parker has been a member of the house for twenty five years but is bitterly opposed this year by a prominent white candidate and an independent colored candi date the session devoted to the coop grafton organizations of woman over which miss mary white covington chairman of the executive commit tee of the association presided marked also the awarding of the spingarn medal to mrs mary b tai bert of buffalo for success in direct ing the campaign for funds to free the home of frederick douglass from debt the various women s organi zations of both races disclosed un questionable progress of better un derstanding large numbers of the delegates visited the national offices in new york the next session of the con vention will be held in kansas city kansas
22_1922-09-15_p1_sn83045433_00280764292_1922091501_0219,The Washington herald.,01,1922-09-15,p1,"Tariff Back on Floor from
RecOmmittal to


Conference.

GRAIN ACT PASSES;


COAL MEASURES UP

Liberian Loan and Anti
Lynching Proposals Face


Fight in Senate.",,inc ldtlh dill is ou of cohlet ence again and sufficiently remod tled to make its final disposal by the house today reasonably certain adoption of the bonus conference report by the house yesterday to gether with active efforts by the senate toward mopping up its legis lative program reflected the senti ment of both chambers that ad journment is in sight and that they want to keep t there reconsideration of the tariff con ference report by the house today was made possible by a motion di recting the conferees to make their report by midnight last night this has been accomplished the dye embargo clause is stricken out and potash has been placed on the free list a series of com promise rates on intermediate dye stuffs and finished products based on the american valuation plan has been substituted for the dye en bargo which was the provision that brought about the motion to re commit phillips makes ruling provisions designed to exclude german dyes bearing trade marks which were sold to american firms during the war would be in violation of the patent and trade mark con vention of acting secretary of state william phillips ruled yester | day phillips ruling was read to the senate by senator moses of new hampshire chairman mccumber said he had assurances that the house would ac cept the conference report today in fact he forecast the house would finish the tariff early enough to per nit of its consideration by the sem ate late today once the tariff is out of the way the house will consider the wins low cummins coal distribution bill conference report today and the winslow b borah coal commission bill report probably tomorrow progress or liberian loan meantime the senate is plowing ahead on the liberian loan with the dyer anti lynching bill the last i m portant measure on the calendar the capper tincher grain futures bill was passed early yesterday passage of the liberian loan reso luton would now seem to depend en tirely upon the life or death of the harrison amendment which provides an appropriation of for addi tional federal locomotive inspectors the borah amendment providing a s po reclamation appropriation has been adopted although senate leaders predict this will defeat the liberian loan objection to the har rison amendment has been sounded on much the same score debate on this amendment lasting several hours delayed disposal of the liberian loan yesterday while sena tor pat harrison expressed willing ness to withdraw his amendment on assurances from senator curtis tha the house was expected to pass a deficiency bill by the end of the week which would contain an appropriation for additional federal locomotive in spectors nevertheless the provision is still in the hderian loan resolution say amendments inopportune both these amendments have been chara cterized by republican senators as inopportune in such a measure however these objections have only increased the insistence of the demo gratis who contended the nearness of adjournment precludes any other method of obtaining relief however if the democrats led on by senators harrison and heflin who charge the loan is being agitated by the republican buy the negro vote can keep up the offensive long enough they yet may defeat the measure with the exception of the provisions authorizing the purchase of the cape cod and dismal canals conferees on the rivers and harbors bill reached virtual agreement late yesterday
13_1922-03-24_p5_sn92070146_00414189659_1922032401_0261,Imperial Valley press.,01,1922-03-24,p5,"GANGS SEARCH FOR


ATTACKER OF GIRL",United Press Leased Wire,washington march scores of men with bloodhounds were search ing the region around jackson station virginia few miles fro mthe capital today for the negro assailant of agnes hawkins government employee there was open talk of lynching the girl was brutally attacked then chained in q fainting state in the barn behind her home becoming conscious after several hours she dragged herself to neighbors home where a doctor said her condition was serious
6_1922-05-19_p1_sn89066652_0021110949A_1922051901_1347,The Missouri herald.,01,1922-05-19,p1,'LAssEs FOR NEGROES.,,the president is now urging that loan of five millions be made to liberia the negro republic on the west african coast more money ta ken from the taxpayers pockets tc throw at birds liberia now owes one and one half millions with prac tically no chance that it will ever be paid unless it is done out of the money which the president desires to advance the chief object of the loan seems to be to show the colored voter in this country what a great and good friend the race has in the white house like the anti lynch ing bill it is intended to produce a profound effect on the colored broth er
7_1922-02-14_p5_sn83045774_00271744341_1922021401_0473,The New York herald.,01,1922-02-14,p5,"KU KLUX SUSPECTED


IN TEXAS LYNCHING

Grand Jury Sets February 20


for Investigation.",,texarkana tex feb the bowie county grand jury to day set february for an investigation into the lynching of p norman negro shot to death by four men saturday night the lynching came as a climax to four days of activities by hooded men during which period in addition to the lynching five white men were flogged one white man seized and warned and one negro notified in a note signed x x x to leave the city as big cleanup was in progress norman who was being escorted from ashdown ark where he was arrested on minor charges was believed by po lice to have been taken for negro wanted for the murder of an aged grocer
9_1922-09-24_p48_sn83045774_00271744365_1922092401_0836,The New York herald.,01,1922-09-24,p48,"GRUPP LOOKS WITH


FAVOR ON JOHNSON

Veteran Boxer Declares That
Wills's Latest Challenger


Will Not Prove Easy.",ny CHARLES r.. MATHIsoN.,billy grupp who conducts a gym nasium on th street where the lead ing boxers train has among his custom ers mr clem johnson who aspires to face harry wills at madison square garden next friday night mr grupp was once boxer and has had unrivaled facilities for studying the clan at close range his opinion of johnson there fore will be of interest anybody who picks glenn up for boob said grupp will make a serious mistake he is a big fellow and he knows considerable about the science of boxing please not run away with tho idea that l think johnson can defeat wills l would not make any such prediction but feel rather confident judging from johnson s work in the gym that he is going to give wills a stiff argument i will stake my reputation that wills is not going to clout johnson as he did the two jactsons glen johnson looks much like jack johnson did when the former champion was in his prime but of course clem is far from the boxing form of jack two of the heavyweights who have been selected to put johnson to the test next wednesday afternoon at grupp s are bill brennan and tom nolan the latter from st paul brennan is a stablemate of johnson and perhaps il might be as well to select some one else floyd johnson the coast heavyweight will also appear on the same card with glenn the white heavyweight will meet whitley allen veteran in a contest scheduled for twelve rounds carl duane of the bronx a bantam with convincing punch will appear at ebbets field next tuesday night in q six round bout with al tiernan this will be preliminary to the martin sulli van contest and should prove exciting charlie doessereck whose judgment of pugilistic form is excellent in com menting on the lynch wolfe affair said t was poor exhibition by a pair of overrated boxers lynch never was a first class bantam he won the title from herman when pete was out of condition and the west slider regained the honors from buff when the jersey man had not recovered from a serious illness he and wolfe had already met five times and wolfe had the better in three of the bouts why should lynch have been expected to defeat wolfe de cisively no one but boob would have offered odds on lynch to win i say lynch did his best and his best is poor his record is proof of it danny edwards negro bantam and johnny curtin irish and also a ban tam are so evenly matched that their contest at the pioneer s c next tues day night should be close each has won bout and each seeks to capture the rubber contest
7_1922-07-13_p13_sn83045774_00271744298_1922071301_0438,The New York herald.,01,1922-07-13,p13,"LYNCH AND BUFF ARE


UNDER SUSPENSION

Must Explain to the Commits
sion as to Guaranty for


Jerseymen.",ny CHARLES r. MArH1sox.,with characteristic promptitude the new york state athletic commission yesterday took cognizance of the re ported guaranty from joe lynch to johnny buff in the match which re suited in the west side boy regaining the bantam title and suspended the boxers and their managers pending a hearing joe lynch present champion his manager edward mead johnny buff former titlehoder and his manager louis diamond were ordered to appear before the commission at a date to be announced and explain their action re garding the guaranty many conflicting reports have been in circulation regarding the arrangement but all agree that buff was guaranteed $ to risk his title in a bout with lynch t is a known fact that buff has tor months demanded $ guar anty for the defense of his title that is the sum he asked of a london promoter to meet wilde in london and t was announced at the time buff and lynch were matched that lynch had consented to meet the $ proposal chairman muldoon produced the con tract between the boxers as filed with mem tion of a guaranty in black and white it was stated that buff was to receive h per cent mr muldoon declared that there was no evidence that the club had violated the commission rules and frank flournoy who made the match for the velodrome said there was not even hint of guaranty in the nego tiations for the contest the commission also took up the case of johnny dundee who was al legged to have demanded per cent for going through with match with danny frush for the title lately held by johnny kilbane dundee fatty de med he had asked for such a percent age and declared he had already made a match with frush which would be staged in ebbets field the middle of august the commission got into touch with ed mckeever who verified dundee s statement therefore dundee will not be censured by the commission new ertheless one of the best known pro moters in this city solemnly declares that dundee did demand per cent for a match with frush greb and rosenberg chairman muldoon instructed a sub ordinate to get into touch at once with george engel manager of harry greb and ascertain when he intends to com plete his match with dave rosenberg for the middleweight title mr muldoon said he had no doubt greb was perfectly willing to make the match but engei seemed backward an important case in which the com is deeply interested is that of leo p flynn and his negro boxer pan anna joe cans both of whom are un der suspension pending hearing on the questions at issue cans is now
39_1922-07-25_p1_sn85038485_00340583085_1922072501_0396,The Birmingham age-herald.,01,1922-07-25,p1,GRAND JURY CALLED,,mouitrie ga july the grand jury late today was ordered by judge w e thomas of superior court to convene in special session tomorrow for an investigation of the lynching near here early today of will anderson negro charged with an attempted attack on oung white girl at the same time judge thomas directed the solicitor general the sheriff and his deputies to do all in their power to aid the grand jury inquiry
16_1922-05-01_p1_sn84026749_00280764851_1922050101_0734,The Washington times.,01,1922-05-01,p1,"MAN HELD FOR


ATTACK ON D. c.
GIRL IN VIRGINIA

coIored Suspect Guarded From
Citizens in Orange


Jail.",,culpeper va may l dragged into a side street and choked into inconsistencies by a young negro miss annie beahm thirty fve years old of m street washington was brutally assaulted here early sunday morn ing few minutes after she left a train of the southern railroad visit her sister mrs o w tanner who lives on east street in the fashionable residential sec ton of culpeper suspect is arrested james wager a twenty five year old negro who is employed by w b clark n produce dealer arrested in with the crime has been identified by miss beahm as her assailant feeling against the ac cused negro is running high and open threats have been made of lynching him fearing that the indignant citizenry will make good their threats of mob violence sheriff j nash who lives at the httle jail here is preparing to move yager to the prison at orange va before night fall he believes that the orange jail in more secure against continued on page column s
1_1922-06-06_p15_sn83045462_0028065713A_1922060601_0047,Evening star.,01,1922-06-06,p15,"CITIZENS GUARD NEGRO


SOUGHT BY MOB OF 1900

80 Aid Police at High Point-Pris-
oner Held for Attempt to


Assault Girl.",,high point nj c june g everything was quiet here early to day following a night of intense ex clitement during which mob esti mated to number men armed with rifles revolvers and pitchforks surrounded the high point city jail bent on lynching a negro arrested in connection with an attempted assault made upon an efghteen year ol white girl six miles west of this city late yesterday more than thirty citizens aided the police in guarding the jail throughout the night the attack on the young woman was made by a negro as she was walking along road to her home the girl told the officers that the negro spoke to her as she passed him then turned grabbed her by the throat and dragged her into the woods an automobile containing four white men passed about this time the girl screamed and the ne gro disappeared into the woods the occupants of the car carried the girl to her home and gave the alarm chief of police blackwelder of high point arrested a negro at thomasville who answered in many respects the description of the one sought he started for the home of the young woman for the purpose of identification but changed his course when he learned of the mob the negro was brought to high point
2_1922-01-13_p8_sn83016589_00393341026_1922011301_0011,The Mankato free press.,01,1922-01-13,p8,,,children in the neighborhood were present senator watson democrat georgia questioned the officer regarding the sentence of the first man hanged a negro at is sur tile for murder and rape the only thing i was concerned in was the mandate from the high command said colonel ham ii was not present at the trial the second soldier white man sadd there were men at camp at the time and by colonel hams di rection the cause of each hanging was publicly stated from the scaffold as a warning that there must be law and order no other executions the man hanged was convicted of rape of a nine year old girl said colonel fam there were no other hangings no lynchings at is sur til lie while i was there h asked about the testimony of for mer soldiers that men in the ameri can army were tried by french court martial colonel ham speaking with great emphasis declared that is not possible the hearing was adjurned until next tuesday senator willis after presenting llis resolution stated that he had received today thirty six letters all from pu pills of sixth grade school all urging him to vote against the seating of mr newberty the letters were identical in phraseology the senator add ed and were written in the childish hand of school children of that age
10_1922-01-02_p6_sn83045462_00280657050_1922010201_0066,Evening star.,01,1922-01-02,p6,Last Years Lynehing Activities.,,there is no feature of our national life more humiliating to students of government than our lynching statis tics they are faithfully and accurate ly kent one years record is compared with another s now the bloody law lessness is at sort of high tide now not so high but unfortunately the tide even when lowered is high enough to give the country q bad name and to cause wonder among those who cherish the country ana would be glad to see its name free from so hideous blot the figures for are promptly available they are slightly in excess of those for the year previous they show that the lynching spirit was strong and active and distributed over a wide area ten states were involved and sixty three men and women ac cused of various crimes done to death at the hands of mobs less than one third of the whole number were ac cused of rape the crime oftenest quoteq in ealeuudilhg avaoa vaasss w mobs only four of the sixty three victims were white two were negro women four were burned alive and ave were burned after death there is no mention of any steps taken against the lynchers probably because there were none that came to anything the lynchers go about their work with supreme confidence they are seldom disturbed either before or after events they have become a sort of privileged brotherhood almost boastful about their performances anything to be done about it no remedy has yet been found or at least applied and in some quarters the sub iect has become almost a bore don t mention itr is either frankly ex pressed in words or in manner when the subject is introduced
1_1922-02-20_p16_sn83045462_00280657074_1922022001_0289,Evening star.,01,1922-02-20,p16,"ASSERTS LyNCH|NG


IS misunderstood

Act of Outraged Relatives
and Friends of Victim, !,


Says Governor.",By the Associa ted Press.,raleigh n c february people in some sections of the coun try do not seem to understand that so called lynchings in the south are nothing more than the killing of a criminal by the friends and frequent ly outraged relatives of the victim of the prisoners crime declared goy cameron fn n morrison i n in of associated press dispatches an nouncing that judge snyder of ham ilton ont had refused to grant ex tradition for matthew bullock negro wanted in north carolina for attempt to murder rabey taylor and for in citing to riot at norlina in january of last year the governor expressed confidence that the matter of bullock s extradi ton from canada would be handled by the state department in wash ington with high respect for the it is understood is still in custody gov morrison reiterated his former statement that if bullock is brought back to north carolina to stand trial every precaution will be taken to guarantee him fair trial lynchings are never winked at by the authorities and are always prevented where the authorities have any knowledge of the approach of danger and an opportunity to pre vent it said the governor what have come to be called lynchings in the south are nothing but ordinary killings in other sections of the country because of the fact that some of our county sites are small villages with very small police forces who are bitterly aroused and seek vengeance are able to go to the jail and by some ruse or trick capture the jailer and take the sought grim inal this very rarely occurs and we of bringing to the state prison in raleigh for safe keeping criminals who have perpetrated crimes which in their nature outrage the community and might cause violence so called lynchings of this character are very rare most of these occurrences called lynchings happen before the officers apprehend the prisoner at all and are nothing but murders committed by those who are outraged by the crime lynched the officers know nothing of it until after it s over and have no way to prevent it the sentiment against so called lynchings in this state is pronounced and universal we now have in the state penitentiary a white man who led a mob in an assault upon three negro prisoners in the hands of the grant of executive clemency to this prisoner one of the three men sought by the mob who was con victed of first degree murder and sen fenced to death in the electric chair has been recently commuted to a sen tence of life imprisonment upon the recommendation of the judge and so hcitor who tried him
19_1922-08-16_p2_sn83045462_00280657165_1922081601_0423,Evening star.,01,1922-08-16,p2,"CLUBW0MEN PUSH
BILL

CoIored Federation Asks
Senator Lodge to Urge


Dyer Law Passage.",,delegation representing the northeastern federation of colofed women s clubs called on senator lodge of massachusetts today to urge him to lend his aid in passage of the dyer anti lynching bill t voted at the session of the metropolitan a n e church that colored daily newspaper be publish ed under the supervision of miss genevieve nj reuben q member of the national negro press association place for publication to be deter other business discussed consisted or reading reports by members of the different states in the federatio and also a report read by mrs i n ross of the district of columbia in which they told of the work and izations in their sections mis e gro sc of wilmington del lectured on philanthrophy its uses and abuses at the opening of this afternoons meeting an election of officers will be held their convention win be held tonight representative l p dyer of mis souri the principal speaker at last nights meeting predicted that the oyer antf lynching bill would pass be iore the end of this session of con can bar association had adopted a resolution to urge congress to pass upon anti lynching legislation rep resentative dyer continued saying that large number of the best people in this country including men and women of the south were in favor of congress passing upon legislation to prevent lynching as state laws haven t sumciently taken care of this form of law breaktng the vision of the colored woman in which she discussed the prohibition laws stating that the country was moi dry at the present time she urged the coiored women to be vigilant in liquor mrs julia mason layton secretary of the district federation of colored momen s clubs and mrs rosetta lawson pioneer temple worker also gave short talks the following committee of twenty nve was appointed at last nights nee ting to interview senator henry cabot lodge in regard to anti lynch ing legislation this morning mrs cravath simpson mrs m t wright mrs eva m bernard mrs ii e eraranes rara r o mrs susie gunthrop mrs mary luck mrs h skidmore mrs p galloway mrs n madre marshall mrs julia nj laylor miss ella viii son mrs susie amos mrs cabriil pelham mrs harriet taylor miss hertte dunbar mrs esther bradley mrs hattie bishop mrs mamie rosa mrs martha webb miss flossie free dom mrs m lynch mrs g a rei and mrs edith shade miss elizabeth c carter president of the northeastern federation pre sided pe
7_1922-11-07_p3_sn85038485_00340582846_1922110701_0104,The Birmingham age-herald.,01,1922-11-07,p3,"Borah to Preuent Passage of Dyer

 Lynching Measure","By HUGH "". ROBERTS Washington Bureau, The Age-Herald.

 Hn nxfH R,,sIs",washington november tspe cial the dyer anti lynching bin but for the opposition of senator borah of idaho would be put through the senate during the extraordinary session borah opposes it because he holds it to be unconstitutional it is not known whether his example will embolden other republicans to with stand the force of the pro negro propaganda that borah s opposition is the only handicap has been told delegations of negroes which have been in washing ton within the last days the president has received some of these delegations it is understood that he has informed them that as he stated in a message to congress some thing should be done it is said that he did not promise to attempt to browbeat congress with borah s assistance and with the calendar crowded by important legislation including the ship subsidy and heavy pay bills southern sena tors feel hopeful that they can delay action until the next regular session then the bill will have to go again through the house through which t passed last session
17_1922-12-30_p2_sn83045433_00280764310_1922123001_0658,The Washington herald.,01,1922-12-30,p2,"La Plata Quiet As Mob


Let's Law Take Course",,la plata nd dec g as sured that james bean twentyfonr year old negro confessed assaila nj or miss emily wenk thirty fiye m brentland seven miles from here will be speedily indicted and tried residents tonight were satisfied tr let the law take its course for a time however after the negro had confessed threats m lynching were made but tonight the mob violence sentiment has vanished sheriff john nj simms and states attorney ferdinand c cooksev hearing threats of lynching urged farmers gathered here to put away their firearms
17_1922-06-24_p1_sn87062168_00279525681_1922062401_0171,The Seward gateway.,01,1922-06-24,p1,NEGROES PROTEST AGAINST ! LYNCHiNGS IN MONTH MAY,,washington the negro popu lation of the city staged a silent pa rade here yesterday as a protest against continued negro lynchings and to stimulate early action on the anti lynching bill more than marched with banners declaring the lynchings set for may established a new record
16_1922-09-22_p1_sn86072239_00279525668_1922092201_0143,The Cordova daily times.,01,1922-09-22,p1,,,own decision in the matter the last minutes of the session today were de voted to speeches on the part of sen ators praising the achievements of the sixtyseventh congress and espe cially it s second session the demo crats declared that it had fallen short of the republican promises the bills signed by president harding which were rushed through the closing min utes included the deficiency appro priation and rivers and harbors ap propriation for $ the dyer anti lynching bill and that call ing for a loan of s to the negro republic of liberia will go over to the next session a number of nominations for postmasters and consular offices which had been awaiting action died with the adjourn ment
39_1922-12-26_p5_sn92051227_00415621085_1922122601_0499,The Bridgeport times and evening farmer.,01,1922-12-26,p5,,,brooklyn john lester johnson and ray ben nett rival negro heavyweights will de opponents tonight in the main bout of twelve rounds at the fifteenth h rfantry regiment armory semi final bout will bring together edwin riley former local amateur star and freddie clark rube stein and young joe epps will exchange blows in the main bout of ten rounds tonight at the forty seventh regiment armory brooklyn in the semi bout also scheduled for ten rounds artie edwards veter an west side boxer will oppose oung frankie nelson jimmy carlson will engage kid herman and willie sugar man will tackle johnny flynn in six round bouts sammy sieger east side feather = weight will journey to jersey city this evening where he will battle frankie brown a sectional rival m the principal twelve round bout at the stadium a c a ten round semi final will bring together harry gal fund and willie ferguson joe lynch worlds bantamweight champion will take a vacation of sev eral weeks before undertaking any more ring engagements in defense or his title the champion suffering from a painfully injured right hand will leave tomorrow for a vacation at hot springs or in the maine wooos
6_1922-05-23_p19_sn83030214_00206532348_1922052301_0657,New-York tribune.,01,1922-05-23,p19,"Calder Condemns Lynching
Senator Tells Negro Audience


He Is for DYER Bill",,senator william n calder and con gresham martin c ansorge pledged their support last night to an audience of negroes meeting under the auspices of the association for the advance ment of colored people at the metro politan baptist church th street and seventh avenue to protest against lynching and urge the passage of the dyer anti lynching bill if | had my way said senator calder i d pass the law now and argue about its constitutionality after ward have been in public office long enough to know that it is the business of the government to protect its citi zens
34_1922-12-31_p43_sn83045462_00280657232_1922123101_0756,Evening star.,01,1922-12-31,p43,,,tiit slj ll oi n n ~ ~ ~ ia in the year ii ether respects however the boxif g game ti rived to degree cotnparablc with all professional and anlateu sports throughout the united statcs | indeed so eager has the publ been support boxing that tim and again the poorest sort g matches have yielded rich rcceip to the promoters and principals the flavor of any year of bcxi j impaired to great degree by tie character and quality of heaei weight bouts rafting battle the heavyweight title is always o tonic influence that is rejected ii only throughout all the pugiiist divisions but il a general interea i the sport which is shared by tei g thousands who normally pay e attention d al to pugilist c affairs but i ca penip y was iat t out rpr us citie he c nrncd his aceiv i i s ~ the stage this va r j empsey s fault ii il real chai i n and likes work = lie trant r er at difficulty is tha it il utclas s s all contend r a e ci ard p rhap another that there y t e ac s i cer i for min make a a h even granting t ac the i blic would stand for his engagement wiz the one exception aboye noted j fialry nils the negro me seco ii ie cxoertior viii b mention a r wills and pe r ser voir ha met this year had i not nrri i i o v here popular and is fro nt itn ~ the authorities in most sta es en to build vi interest in this p b ut hav b cn underway fo a yea low and there are said be chan e ~ in fight viii b pulled on n n y yyrf city hex september tn lircr rersonally does rot ne rat tfesc chances are good iuc c ons think wh n all is a ana done thcr are conditions u of the country that svegest o iii ycily harding cf mixed fights viii l going back ard anyway harry wills or s v b eu z much more fortnidabif cuon nt for dempsey two years az man he viii b this coming yea th rassagc of time has meant muc l orr ar as physical deterior in is concerned to wills than l s rcu pssy who right nov = c mig into his prime aside fror wills i contains lizzie promise may nehl dempsey in eet york = tf a neu york state athletic cor mission cau b induced a resciad ts ban on ased fghte but no hno l rg fan would excite himself owe hat battle e an is looming figure but il coming year will hardly see him ri y u fight against dempsey a i u itirpo the argentinan seems al he x r ous existence cf il national ido on the other side world chanpio ship ccntendera offer battling s raj been discredited carpenter h trn nown zip and joe beckett british champion is th rd ra et tommy gibbons may be pittcl ea n dempsey there seems to i some thing curious about this going great guns knocking all of ponents galley west but his s showing consisted chiefly of the poor est sort of i fight against bartle madden and as u climax his defea by marry greb in new york he dit show great class against mfske viii fcuied him the problem is whether tommy was playing possum vii iret looking toward a battle wit denipsey or just what happened ani caa hit there are iiidicatio tl at dempsey had rather meet l le any one than gibbons iii lnost important world tit i u changed hands during til ei involved the welterweiglt ga mickey walker young mixer from elizabeth y j met jack rrittor i the madison square garden az walker is good rough and ready walloper but in no sense of ii word a great fighter the american lightweight chan pionship was taken from gene t>u pittsburgh this title battle was built up originally through g fghf between tunney and battling l whisky the aged national title holder from whom carpenter had months before the frenchman an dempsey met tunney hand even les trouble in disposing of levinsky tina carpenter had moreover this fifh locked to be upon the level wherea there are experts who believe til svinshy laid down to gorgeous georges anyway greb windmilie tunney out of his title when iii two met a the madison squa garden joe lynch came back tue world bantan weight title h l captured by joe lynch former iii l oider when he defeated the sick ar r sto cl nals the madison square garden and later pancho villa punch q buff out of his national flywcigl title villa halls from the philippir | islands and has had one of the mos remarkable rises pugilism has know in some time the high light battle of the yea took place one summer night in tht famous arena on bcyle s thirty acres in jersey city where benny leonarl z and lew tender fought their lor = deferred battle it was n ro decisio bout tender gained a huge lead y the early rounds but gtec in th fight leonard began to make proc ress and at tho end was doing nor than holding his own ncwsparc decisions went to leonard il wa a real battle and when tender an | leonard meet next summer as thei surely will the chances are that il | feud between the two boys viii settled for good and all with johnny wilson who holds til i middleweight title barred from fight ing in many states and apparently no eager to do battle in commomnweaitl where his appearance would be pcy mitted the new york athletic coz j mission bestowed the title upon da rosenberg of brooklyn some tin after this benefaction rosenberg m mike odowd former midd eweiei titlcholder with o dowd leading by goodly margin rosenberg fouled his opponent and was disqualified < michael is now by grace of the ne pion of the world this title how ever is only locally recognized and none too ardently even in new york johnny kilbane worlds champioi featherweight has been inactive al year as usual last spring he went l
13_1922-10-19_p7_sn87062237_00383342740_1922101901_0206,"Every evening, Wilmington daily commercial.",01,1922-10-19,p7,Boyce Discusses Layton.,,referring to congressman eayton s apparent attempt to recover the sup port of the negro voters who have openly opposed him because of his vote against the dyer anti lynching bill judge boyce expressed the wish that his opponent would be as gen erous towards me as l have been to wards him dir layton is nervous very ner vous and is like fish out of water he added he is so distressed about the negro vote that he has turned his guns on me his friend while have refrained from entering into controversy with him or to fiay him only when he attacks me and i seek answer if he can get the vote let him get il why not free the negro from mental slavery and let him vote the way his conscience dictates mr bayard who arrived shortly be fore ten o clock from the mass meet ing in the wilmington high school also pleaded for full registration and cited numerous reasons why the men and women should register and vote the democratic ticket william w knowles dwelt on the burden o taxation resting upon the farmers of this state he pointed out that while on a visit to california he saw farnlands being sold for sew eral hundred dollars which were wort considerably less in quality than those of delaware for which but about an acre or less can be obtained when our farmers want to sell their lands they cannot find buyers because the taxes are too high he said when man here wants tc buy farm for business hobby oi investment he goes over to the penn sylvania side where the taxes ar greatly less there is no reason why the state should burden our farmers in this manner i frank f yearsley candidate recorder of deeds of this county thomas w truitt candidate for levy court sixth district and j lesli n ford candidate for coroner all of the democratic ticket were othel speakers at the meeting
